iter	Passed	Remaining
629	11062	164538
630	11079	164508
631	11097	164489
632	11113	164457
633	11129	164421
634	11146	164391
635	11163	164357
636	11179	164323
637	11196	164293
638	11212	164260
639	11229	164229
640	11245	164197
641	11262	164168
642	11279	164146
643	11296	164114
644	11313	164085
645	11329	164050
646	11346	164026
647	11363	163997
648	11380	163971
649	11396	163937
650	11413	163907
651	11430	163878
652	11446	163842
653	11463	163812
654	11479	163783
655	11497	163770
656	11514	163749
657	11531	163724
658	11549	163704
659	11565	163670
660	11581	163636
661	11598	163608
662	11616	163591
663	11633	163573
664	11650	163539
665	11666	163508
666	11683	163481
667	11700	163451
668	11716	163417
669	11734	163403
670	11750	163368
671	11767	163338
672	11784	163325
673	11802	163307
674	11819	163291
675	11836	163262
676	11853	163237
677	11871	163219
678	11888	163194
679	11905	163179
680	11922	163153
681	11939	163122
682	11955	163084
683	11971	163053
684	11988	163022
685	12005	162996
686	12021	162966
687	12038	162943
688	12055	162915
689	12072	162885
690	12088	162859
691	12105	162832
692	12122	162802
693	12138	162771
694	12154	162736
695	12171	162708
696	12187	162674
697	12204	162645
698	12221	162619
699	12238	162592
700	12255	162568
701	12272	162548
702	12290	162540
703	12307	162510
704	12323	162473
705	12339	162446
706	12356	162415
707	12373	162387
708	12389	162361
709	12406	162334
710	12423	162303
711	12439	162276
712	12456	162247
713	12474	162232
714	12490	162198
715	12506	162166
716	12522	162135
717	12539	162105
718	12556	162076
719	12573	162054
720	12589	162025
721	12606	161996
722	12622	161964
723	12638	161929
724	12655	161899
725	12671	161869
726	12689	161853
727	12706	161827
728	12722	161801
729	12739	161773
730	12756	161748
731	12772	161716
732	12788	161684
733	12805	161654
734	12821	161623
735	12839	161604
736	12856	161586
737	12873	161569
738	12890	161544
739	12907	161516
740	12923	161486
741	12940	161460
742	12958	161443
743	12974	161417
744	12990	161382
745	13008	161370
746	13025	161345
747	13041	161310
748	13058	161284
749	13075	161259
750	13091	161233
751	13108	161211
752	13125	161184
753	13142	161158
754	13159	161133
755	13176	161112
756	13192	161081
757	13209	161055
758	13226	161032
759	13242	161000
760	13258	160969
761	13274	160934
762	13291	160909
763	13308	160886
764	13325	160861
765	13341	160834
766	13357	160800
767	13374	160777
768	13391	160746
769	13407	160718
770	13425	160706
771	13441	160674
772	13458	160647
773	13475	160628
774	13492	160608
775	13511	160602
776	13527	160571
777	13544	160543
778	13562	160537
779	13578	160509
780	13597	160501
781	13613	160477
782	13630	160452
783	13647	160425
784	13663	160397
785	13680	160370
786	13697	160345
787	13713	160319
788	13730	160292
789	13746	160262
790	13763	160233
791	13779	160204
792	13795	160175
793	13812	160147
794	13828	160118
795	13845	160093
796	13862	160067
797	13878	160041
798	13895	160010
799	13911	159981
800	13928	159960
801	13945	159933
802	13961	159908
803	13978	159883
804	13995	159857
805	14011	159831
806	14028	159803
807	14044	159774
808	14061	159746
809	14077	159714
810	14093	159683
811	14109	159655
812	14126	159631
813	14142	159600
814	14159	159577
815	14175	159549
816	14192	159516
817	14208	159486
818	14225	159465
819	14242	159446
820	14259	159425
821	14276	159398
822	14292	159369
823	14309	159348
824	14325	159321
825	14342	159290
826	14359	159270
827	14376	159247
828	14392	159218
829	14409	159199
830	14425	159169
831	14445	159175
832	14461	159151
833	14478	159126
834	14495	159097
835	14511	159073
836	14528	159055
837	14545	159027
838	14563	159016
839	14579	158988
840	14596	158962
841	14613	158938
842	14629	158909
843	14646	158886
844	14662	158860
845	14679	158841
846	14698	158840
847	14715	158820
848	14733	158805
849	14752	158802
850	14771	158807
851	14788	158790
852	14806	158777
853	14824	158769
854	14842	158755
855	14859	158737
856	14877	158727
857	14895	158715
858	14913	158702
859	14931	158691
860	14949	158684
861	14967	158668
862	14985	158656
863	15005	158667
864	15024	158665
865	15041	158643
866	15058	158623
867	15076	158612
868	15093	158598
869	15111	158582
870	15128	158564
871	15149	158583
872	15172	158628
873	15193	158641
874	15211	158630
875	15228	158615
876	15245	158595
877	15269	158646
878	15287	158630
879	15304	158607
880	15320	158574
881	15337	158552
882	15357	158561
883	15373	158536
884	15390	158511
885	15406	158480
886	15423	158461
887	15468	158725
888	15488	158735
889	15509	158753
890	15526	158737
891	15555	158828
892	15574	158832
893	15593	158830
894	15611	158819
895	15629	158806
896	15655	158874
897	15673	158868
898	15697	158911
899	15719	158945
900	15737	158931
901	15755	158917
902	15773	158906
903	15791	158895
904	15810	158886
905	15827	158865
906	15844	158848
907	15863	158844
908	15886	158887
909	15904	158874
910	15921	158852
911	15943	158874
912	15963	158881
913	15980	158864
914	15998	158845
915	16015	158827
916	16033	158811
917	16053	158823
918	16070	158795
919	16087	158774
920	16104	158758
921	16123	158750
922	16141	158736
923	16158	158715
924	16176	158700
925	16194	158692
926	16213	158690
927	16231	158674
928	16248	158657
929	16266	158638
930	16284	158624
931	16301	158608
932	16318	158588
933	16336	158575
934	16354	158557
935	16373	158560
936	16391	158539
937	16408	158518
938	16425	158503
939	16443	158488
940	16461	158477
941	16481	158478
942	16502	158493
943	16518	158469
944	16539	158481
945	16557	158467
946	16575	158459
947	16593	158445
948	16617	158491
949	16636	158480
950	16653	158466
951	16671	158453
952	16689	158433
953	16707	158419
954	16724	158401
955	16741	158380
956	16759	158366
957	16776	158346
958	16794	158327
959	16811	158309
960	16829	158291
961	16846	158277
962	16864	158258
963	16882	158243
964	16899	158226
965	16917	158211
966	16935	158197
967	16954	158199
968	16975	158209
969	16998	158247
970	17016	158232
971	17034	158214
972	17052	158200
973	17069	158185
974	17086	158162
975	17102	158130
976	17119	158105
977	17135	158076
978	17152	158050
979	17168	158024
980	17185	157994
981	17201	157970
982	17218	157942
983	17234	157917
984	17251	157891
985	17268	157866
986	17284	157837
987	17301	157812
988	17317	157785
989	17334	157761
990	17350	157734
991	17367	157708
992	17384	157684
993	17400	157656
994	17416	157625
995	17433	157599
996	17449	157573
997	17466	157547
998	17482	157521
999	17499	157493
1000	17515	157467
1001	17532	157439
1002	17548	157410
1003	17565	157386
1004	17581	157360
1005	17598	157334
1006	17615	157313
1007	17631	157286
1008	17647	157256
1009	17664	157231
1010	17681	157208
1011	17698	157185
1012	17714	157157
1013	17731	157136
1014	17748	157112
1015	17764	157087
1016	17781	157057
1017	17797	157027
1018	17813	157002
1019	17830	156977
1020	17846	156947
1021	17863	156922
1022	17879	156897
1023	17906	156964
1024	17927	156977
1025	17945	156961
1026	17963	156946
1027	17980	156928
1028	17998	156912
1029	18015	156895
1030	18033	156877
1031	18050	156859
1032	18068	156844
1033	18085	156824
1034	18103	156806
1035	18120	156788
1036	18137	156769
1037	18155	156751
1038	18172	156731
1039	18189	156711
1040	18207	156696
1041	18224	156676
1042	18242	156659
1043	18259	156641
1044	18277	156628
1045	18295	156610
1046	18312	156591
1047	18329	156571
1048	18347	156554
1049	18365	156540
1050	18389	156583
1051	18408	156580
1052	18426	156565
1053	18444	156548
1054	18461	156531
1055	18480	156527
1056	18499	156522
1057	18516	156500
1058	18534	156487
1059	18552	156470
1060	18570	156455
1061	18587	156435
1062	18604	156416
1063	18622	156400
1064	18639	156383
1065	18657	156362
1066	18674	156344
1067	18691	156324
1068	18708	156305
1069	18729	156310
1070	18752	156342
1071	18771	156333
1072	18788	156315
1073	18805	156290
1074	18822	156267
1075	18839	156251
1076	18856	156227
1077	18872	156200
1078	18888	156168
1079	18905	156145
1080	18925	156145
1081	18941	156120
1082	18957	156092
1083	18975	156073
1084	18992	156050
1085	19008	156025
1086	19025	155999
1087	19041	155970
1088	19057	155941
1089	19073	155909
1090	19089	155884
1091	19106	155861
1092	19124	155844
1093	19144	155848
1094	19160	155822
1095	19177	155796
1096	19194	155775
1097	19210	155749
1098	19226	155720
1099	19243	155694
1100	19260	155676
1101	19277	155651
1102	19293	155625
1103	19310	155601
1104	19326	155575
1105	19343	155551
1106	19360	155528
1107	19376	155500
1108	19393	155476
1109	19409	155454
1110	19426	155430
1111	19442	155402
1112	19462	155399
1113	19479	155383
1114	19497	155364
1115	19513	155339
1116	19529	155308
1117	19547	155293
1118	19565	155279
1119	19582	155259
1120	19598	155235
1121	19615	155212
1122	19634	155202
1123	19654	155204
1124	19672	155193
1125	19691	155188
1126	19710	155183
1127	19728	155171
1128	19750	155183
1129	19768	155172
1130	19787	155165
1131	19806	155159
1132	19824	155147
1133	19843	155145
1134	19862	155134
1135	19879	155115
1136	19896	155098
1137	19913	155072
1138	19930	155053
1139	19947	155029
1140	19964	155011
1141	19981	154985
1142	19998	154963
1143	20014	154936
1144	20030	154909
1145	20048	154893
1146	20065	154870
1147	20081	154845
1148	20099	154829
1149	20116	154809
1150	20133	154787
1151	20149	154761
1152	20166	154738
1153	20183	154715
1154	20200	154692
1155	20216	154667
1156	20233	154645
1157	20249	154616
1158	20265	154588
1159	20282	154565
